MSA,Population
"Santa Fe, NM","150,056"
"Santa Maria-Santa Barbara, CA","446,527"
"Santa Rosa-Petaluma, CA","499,942"
"Savannah, GA","389,494"
"Scranton--Wilkes-Barre, PA","555,485"
"Seattle-Tacoma-Bellevue, WA","3,939,363"
"Sebastian-Vero Beach, FL","157,413"
"Sebring-Avon Park, FL","105,424"
"Sheboygan, WI","115,456"
"Sherman-Denison, TX","133,991"
"Shreveport-Bossier City, LA","436,341"
"Sierra Vista-Douglas, AZ","126,770"
"Sioux City, IA-NE-SD","169,354"
"Sioux Falls, SD","266,100"
"South Bend-Mishawaka, IN-MI","322,424"
"Spartanburg, SC","341,298"
"Spokane-Spokane Valley, WA","573,527"
"Springfield, IL","207,676"
"Springfield, MA","631,761"
"Springfield, MO","468,126"
"Springfield, OH","134,585"
"St. Cloud, MN","199,801"
"St. George, UT","171,700"
"St. Joseph, MO-KS","126,991"
"St. Louis, MO-IL","2,804,724"
"State College, PA","162,805"
"Staunton, VA","123,007"
"Stockton, CA","752,660"
"Sumter, SC","106,512"
"Syracuse, NY","650,502"
"Tallahassee, FL","387,455"
"Tampa-St. Petersburg-Clearwater, FL","3,142,663"
"Terre Haute, IN","168,679"
"Texarkana, TX-AR","151,675"
"The Villages, FL","128,754"
"Toledo, OH","602,871"
"Topeka, KS","232,594"
"Trenton-Princeton, NJ","369,811"
"Tucson, AZ","1,039,073"
"Tulsa, OK","993,928"
"Tuscaloosa, AL","244,895"
"Twin Falls, ID","109,264"
"Tyler, TX","230,221"
"Urban Honolulu, HI","980,080"
"Utica-Rome, NY","291,410"
"Valdosta, GA","145,577"
"Vallejo, CA","446,610"
"Victoria, TX","99,047"
"Vineland-Bridgeton, NJ","150,972"
"Virginia Beach-Norfolk-Newport News, VA-NC","1,729,114"
"Visalia, CA","465,861"
"Waco, TX","270,566"
"Walla Walla, WA","65,611"
"Warner Robins, GA","193,729"
"Washington-Arlington-Alexandria, DC-VA-MD-WV","6,251,240"
"Waterloo-Cedar Falls, IA","169,659"
"Watertown-Fort Drum, NY","111,755"
"Wausau-Weston, WI","135,428"
"Weirton-Steubenville, WV-OH","120,228"
"Wenatchee, WA","119,943"
"Wheeling, WV-OH","140,045"
"Wichita Falls, TX","151,306"
"Wichita, KS","645,031"
"Williamsport, PA","113,664"
"Wilmington, NC","294,436"
"Winchester, VA-WV","141,848"
"Winston-Salem, NC","671,456"
"Worcester, MA-CT","947,866"
"Yakima, WA","251,446"
"York-Hanover, PA","448,273"
"Youngstown-Warren-Boardman, OH-PA","538,952"
"Yuba City, CA","174,848"
"Yuma, AZ","212,128"
